movie,budge,gross,comment_count,view_count,like_count,year
Lady Bird,10000000,78610769,3233,15170575,84001,2017
Thor: Ragnarok,180000000,846980024,60703,72849257,738040,2017
A Bad Moms Christmas,28000000,127710550,555,3966837,14600,2017
Jigsaw,10000000,104223315,10519,17694831,80505,2017
Thank You for Your Service,20000000,9985316,2137,2998339,26531,2017
Let There Be Light,3000000,7241309,615,283865,1445,2017
Only the Brave,38000000,24555177,903,2441755,9592,2017
Geostorm,100000000,220796009,5423,14207290,41296,2017
Same Kind of Different as Me,6500000,6423605,646,697640,3590,2017
Tyler Perrys Boo 2! A Madea Halloween,20000000,47879572,2090,2980874,25413,2017
The Snowman,35000000,43226146,9515,13721333,74180,2017
Marshall,12000000,10116816,426,551655,4376,2017
Happy Death Day,5000000,125010260,5315,6314870,39918,2017
The Foreigner,35000000,140783360,7859,10331614,81652,2017
Demonic,3000000,4668109,502,1545137,4558,2017
Blade Runner 2049,185000000,259357408,17641,28488256,160808,2017
The Florida Project,2000000,11295324,1371,4260453,21502,2017
Visages villages,1000000,4015686,26,183811,855,2017
"Don Gato, el inicio de la pandilla",8000000,4604656,147,740122,1510,2017
Flatliners,20000000,45173738,2706,7650840,17339,2017
Flatliners,26000000,61308153,2706,7650840,17339,2017
American Made,50000000,135569212,2280,12754872,25056,2017
"Mune, le gardien de la lune",17000000,14534046,16,158394,354,2017
Victoria and Abdul,21000000,68271146,2044,5537506,38194,2017
The Lego Ninjago Movie,70000000,122737201,4804,13454124,42937,2017
Friend Request,9900000,11310835,4603,7240931,26945,2017
Stronger,30000000,8786287,1204,2497080,20696,2017
Battle of the Sexes,25000000,18445379,1619,2929821,11586,2017
Kingsman: The Golden Circle,104000000,408803696,10348,23572754,197616,2017
mother!,30000000,42531076,9584,16654936,42837,2017
American Assassin,63000000,68310140,419,2275124,6261,2017
Home Again,15000000,37336874,409,2155696,6581,2017
It,35000000,697457969,22508,36508338,208759,2017
Sky Sharks,2500000,0,1464,1352694,5791,2017
